po_id,supplier,created_at,worker_id,outcome
PO-4419,Fresh Farms,2026-09-12T13:50:00+00:00,W-17,flagged
PO-4421,Berry Grove Co,2026-09-11T17:50:00+00:00,W-18,flagged_heartbeat
PO-4420,GreenLeaf Produce,2026-09-11T15:18:00+00:00,W-17,committed
PO-4418,Fresh Farms,2026-09-10T19:58:00+00:00,W-17,committed
PO-4415,Berry Grove Co,2026-09-10T11:48:00+00:00,W-19,committed
PO-4412,CoolChain Farms,2026-09-09T17:30:00+00:00,W-18,office_flag
PO-4410,GreenLeaf Produce,2026-09-08T09:28:00+00:00,W-17,committed
PO-4408,Fresh Farms,2026-09-08T11:03:00+00:00,W-19,committed
PO-4402,Fresh Farms,2026-09-08T15:53:00+00:00,W-18,flagged_lot
PO-4399,CoolChain Farms,2026-09-05T10:43:00+00:00,W-17,info_temp
PO-4406,Valley Mist,2026-09-12T10:22:00+00:00,W-19,flagged_over
PO-4404,Pacific Pack,2026-09-11T12:05:00+00:00,W-18,quality_damage
PO-4403,Harbor Greens,2026-09-10T08:12:00+00:00,W-17,info_late
PO-4398,Sierra Packing,2026-09-09T13:40:00+00:00,W-19,flagged_item
PO-5001,Red River Produce,2026-09-07T15:10:44+00:00,W-17,pending_match
PO-5002,Sierra Packing,2026-09-07T10:57:42+00:00,W-19,committed
PO-5003,High Desert Growers,2026-09-11T14:36:32+00:00,W-19,committed
PO-5004,High Desert Growers 2,2026-09-08T09:06:53+00:00,W-19,committed
PO-5005,CoolChain Farms,2026-09-10T09:00:17+00:00,W-19,flagged
PO-5006,Pacific Pack,2026-09-07T14:06:26+00:00,W-19,committed
PO-5007,Pacific Pack 3,2026-09-07T10:00:19+00:00,W-18,committed
PO-5008,Fresh Farms,2026-09-08T10:43:31+00:00,W-18,committed
PO-5009,Sierra Packing,2026-09-12T15:22:39+00:00,W-18,pending_clarification
PO-5010,GreenLeaf Produce,2026-09-11T08:33:03+00:00,W-18,committed
PO-5011,GreenLeaf Produce,2026-09-10T14:05:26+00:00,W-17,committed
PO-5012,North Fork Cold 6,2026-09-08T07:35:49+00:00,W-17,committed
PO-5013,Sunridge Organics,2026-09-10T09:02:08+00:00,W-17,committed
PO-5014,Fresh Farms 3,2026-09-07T12:10:47+00:00,W-17,flagged_heartbeat
PO-5015,Pacific Pack,2026-09-10T15:10:24+00:00,W-19,committed
PO-5016,Sierra Packing 2,2026-09-10T09:34:54+00:00,W-17,committed
PO-5017,Fresh Farms,2026-09-09T12:38:23+00:00,W-19,committed
PO-5018,Valley Mist 5,2026-09-09T10:05:40+00:00,W-18,flagged_lot
PO-5019,Fresh Farms 4,2026-09-12T09:18:39+00:00,W-19,committed
PO-5020,Fresh Farms,2026-09-11T14:05:59+00:00,W-18,committed
PO-5021,Berry Grove Co,2026-09-07T14:15:20+00:00,W-17,committed
PO-5022,Fresh Farms,2026-09-10T09:21:35+00:00,W-17,committed
PO-5023,Fresh Farms,2026-09-10T10:49:50+00:00,W-18,flagged
PO-5024,North Fork Cold 7,2026-09-09T09:56:27+00:00,W-19,committed
PO-5025,Berry Grove Co,2026-09-08T08:01:46+00:00,W-17,flagged_over
PO-5026,Berry Grove Co 2,2026-09-10T09:21:46+00:00,W-19,committed
PO-5027,Fresh Farms,2026-09-08T08:31:19+00:00,W-19,committed
PO-5028,Prairie Lot 4,2026-09-11T11:11:06+00:00,W-19,flagged_over
PO-5029,Fresh Farms,2026-09-08T14:21:30+00:00,W-17,committed
PO-5030,Fresh Farms,2026-09-07T11:48:19+00:00,W-17,office_flag
PO-5031,Valley Mist 2,2026-09-12T09:36:36+00:00,W-19,committed
PO-5032,Berry Grove Co,2026-09-07T12:38:05+00:00,W-17,committed
PO-5033,Fresh Farms,2026-09-10T11:00:18+00:00,W-18,committed
PO-5034,Sierra Packing 3,2026-09-10T14:53:16+00:00,W-19,flagged_lot
PO-5035,Coastal Crisp 2,2026-09-09T11:38:14+00:00,W-18,committed
PO-5036,Harbor Greens 5,2026-09-09T14:02:36+00:00,W-18,committed
PO-5037,High Desert Growers,2026-09-07T07:20:56+00:00,W-18,info_temp
PO-5038,Coastal Crisp 6,2026-09-11T11:54:37+00:00,W-19,committed
PO-5039,GreenLeaf Produce,2026-09-09T10:46:58+00:00,W-19,committed
PO-5040,North Fork Cold 2,2026-09-08T09:50:20+00:00,W-17,committed
PO-5041,Blue Mesa Farms,2026-09-12T13:56:48+00:00,W-18,committed
PO-5042,Fresh Farms,2026-09-11T10:56:26+00:00,W-19,committed
PO-5043,Fresh Farms 6,2026-09-07T11:41:08+00:00,W-18,committed
PO-5044,Berry Grove Co,2026-09-09T09:02:45+00:00,W-19,committed
PO-5045,Fresh Farms 3,2026-09-11T11:15:59+00:00,W-19,committed
PO-5046,Pacific Pack,2026-09-08T11:42:09+00:00,W-19,flagged_over
PO-5047,GreenLeaf Produce,2026-09-08T13:43:32+00:00,W-17,committed
PO-5048,CoolChain Farms,2026-09-09T11:07:22+00:00,W-19,flagged
PO-5049,High Desert Growers,2026-09-08T14:18:49+00:00,W-18,committed
PO-5050,Coastal Crisp 2,2026-09-12T13:45:52+00:00,W-17,committed
PO-5051,Sunridge Organics 4,2026-09-08T07:51:55+00:00,W-17,office_flag
PO-5052,Red River Produce 3,2026-09-12T07:38:30+00:00,W-18,flagged
PO-5053,Valley Mist 2,2026-09-11T10:14:20+00:00,W-18,committed
PO-5054,North Fork Cold 7,2026-09-10T14:51:18+00:00,W-19,committed
PO-5055,GreenLeaf Produce,2026-09-07T13:47:03+00:00,W-18,committed
PO-5056,Berry Grove Co,2026-09-10T08:32:10+00:00,W-19,committed
PO-5057,Sunridge Organics,2026-09-12T08:13:14+00:00,W-18,committed
PO-5058,Coastal Crisp,2026-09-10T08:20:04+00:00,W-18,committed
PO-5059,Berry Grove Co,2026-09-08T14:12:19+00:00,W-18,committed
PO-5060,GreenLeaf Produce,2026-09-08T09:31:44+00:00,W-19,committed
PO-5061,Coastal Crisp 5,2026-09-10T14:06:57+00:00,W-17,committed
PO-5062,Coastal Crisp 3,2026-09-08T13:26:46+00:00,W-19,committed
PO-5063,Valley Mist,2026-09-11T07:17:37+00:00,W-17,info_late
PO-5064,Valley Mist 4,2026-09-09T14:47:17+00:00,W-18,committed
PO-5065,Fresh Farms,2026-09-11T10:59:04+00:00,W-17,flagged_heartbeat
PO-5066,Blue Mesa Farms,2026-09-11T07:07:16+00:00,W-18,committed
PO-5067,Fresh Farms,2026-09-08T12:26:23+00:00,W-17,flagged_heartbeat
PO-5068,CoolChain Farms 4,2026-09-08T07:32:40+00:00,W-19,committed
PO-5069,Fresh Farms,2026-09-12T09:35:31+00:00,W-17,committed
PO-5070,High Desert Growers 6,2026-09-10T13:20:44+00:00,W-18,committed
PO-5071,Pacific Pack,2026-09-07T11:10:39+00:00,W-18,committed
PO-5072,Coastal Crisp 5,2026-09-12T10:08:34+00:00,W-19,committed
PO-5073,Fresh Farms,2026-09-12T14:01:29+00:00,W-17,committed
PO-5074,Sierra Packing 3,2026-09-11T09:04:08+00:00,W-17,committed
PO-5075,GreenLeaf Produce 2,2026-09-11T13:43:57+00:00,W-18,committed
PO-5076,Sunridge Organics 2,2026-09-08T08:29:07+00:00,W-17,pending_match
PO-5077,Valley Mist 3,2026-09-10T11:29:07+00:00,W-18,flagged
PO-5078,Berry Grove Co 3,2026-09-08T12:14:02+00:00,W-19,info_late
PO-5079,High Desert Growers,2026-09-12T14:13:25+00:00,W-17,committed
PO-5080,Fresh Farms,2026-09-08T08:15:04+00:00,W-19,committed
PO-5081,Coastal Crisp,2026-09-12T11:31:18+00:00,W-19,committed
PO-5082,Fresh Farms 3,2026-09-10T13:33:35+00:00,W-17,flagged_item
PO-5083,CoolChain Farms,2026-09-08T13:13:06+00:00,W-18,flagged_over
PO-5084,Fresh Farms,2026-09-07T14:05:05+00:00,W-17,flagged_lot
PO-5085,Harbor Greens,2026-09-09T12:00:35+00:00,W-19,committed
PO-5086,Fresh Farms,2026-09-07T11:19:13+00:00,W-18,committed
PO-5087,Berry Grove Co,2026-09-07T09:22:36+00:00,W-18,flagged_lot
PO-5088,Valley Mist 4,2026-09-07T14:55:42+00:00,W-18,committed
PO-5089,Fresh Farms,2026-09-09T10:25:04+00:00,W-19,info_temp
PO-5090,Berry Grove Co,2026-09-08T10:52:21+00:00,W-18,committed
PO-5091,Fresh Farms,2026-09-07T13:26:39+00:00,W-17,committed
PO-5092,Pacific Pack 3,2026-09-09T09:19:13+00:00,W-17,committed
PO-5093,Pacific Pack,2026-09-10T07:23:14+00:00,W-19,flagged
PO-5094,Pacific Pack,2026-09-10T08:29:08+00:00,W-19,committed
PO-5095,Coastal Crisp,2026-09-08T13:19:02+00:00,W-18,committed
PO-5096,GreenLeaf Produce,2026-09-08T12:27:26+00:00,W-18,committed
PO-5097,Berry Grove Co 2,2026-09-11T09:04:27+00:00,W-19,committed
PO-5098,Red River Produce,2026-09-09T07:58:33+00:00,W-18,committed
PO-5099,Berry Grove Co,2026-09-07T09:11:12+00:00,W-17,committed
PO-5100,High Desert Growers 3,2026-09-09T13:26:36+00:00,W-18,committed
PO-5101,Sunridge Organics,2026-09-08T10:45:04+00:00,W-19,committed
PO-5102,Coastal Crisp,2026-09-09T09:38:29+00:00,W-17,committed
PO-5103,Berry Grove Co 2,2026-09-09T10:16:29+00:00,W-19,committed
PO-5104,Red River Produce 6,2026-09-09T11:16:09+00:00,W-18,committed
PO-5105,Sierra Packing,2026-09-08T10:44:28+00:00,W-19,committed
PO-5106,GreenLeaf Produce 2,2026-09-08T09:53:43+00:00,W-19,committed
PO-5107,Berry Grove Co 3,2026-09-10T09:25:16+00:00,W-19,committed
PO-5108,Sierra Packing 5,2026-09-07T12:39:09+00:00,W-18,committed
PO-5109,CoolChain Farms,2026-09-09T15:00:05+00:00,W-18,committed
PO-5110,North Fork Cold 7,2026-09-10T15:04:47+00:00,W-19,flagged
PO-5111,Berry Grove Co,2026-09-12T11:08:12+00:00,W-17,committed
PO-5112,GreenLeaf Produce 5,2026-09-11T14:07:47+00:00,W-17,pending_clarification
PO-5113,Sunridge Organics 3,2026-09-07T14:05:44+00:00,W-17,committed
PO-5114,CoolChain Farms 2,2026-09-10T15:16:28+00:00,W-19,flagged_item
PO-5115,Red River Produce 2,2026-09-11T08:39:23+00:00,W-19,committed
PO-5116,Berry Grove Co 4,2026-09-09T10:34:10+00:00,W-19,flagged_lot
PO-5117,Red River Produce,2026-09-12T13:04:54+00:00,W-17,committed
PO-5118,Coastal Crisp,2026-09-11T08:15:53+00:00,W-17,committed
PO-5119,Berry Grove Co,2026-09-07T11:17:23+00:00,W-17,committed
PO-5120,Fresh Farms,2026-09-08T08:14:08+00:00,W-18,office_flag
PO-5121,GreenLeaf Produce,2026-09-07T07:40:01+00:00,W-17,committed
PO-5122,CoolChain Farms,2026-09-07T09:27:15+00:00,W-17,committed
PO-5123,GreenLeaf Produce 2,2026-09-07T14:43:31+00:00,W-17,committed
PO-5124,GreenLeaf Produce,2026-09-09T12:14:22+00:00,W-18,committed
PO-5125,Red River Produce,2026-09-07T11:29:34+00:00,W-19,committed
PO-5126,GreenLeaf Produce,2026-09-10T15:22:23+00:00,W-17,office_flag
PO-5127,GreenLeaf Produce 3,2026-09-10T13:35:37+00:00,W-18,info_late
PO-5128,Fresh Farms,2026-09-09T08:33:51+00:00,W-19,committed
