po_id,sku,item,quantity,unit,lot_code,unit_price_usd
PO-4419,ROM-ICE-24,romaine,50,cases,,18.4
PO-4421,STR-CLAM-12,strawberries,24,cases,,22.1
PO-4420,SPI-BCH-24,spinach,30,cases,,16.5
PO-4418,KAL-BCH-12,kale,12,cases,,14.2
PO-4415,AVO-CS-48,avocado,100,cases,,31.0
PO-4412,TOM-VINE-25,tomatoes,60,cases,,19.8
PO-4410,SPI-BCH-24,spinach,18,cases,,16.5
PO-4408,ROM-ICE-24,romaine,50,cases,,18.4
PO-4402,AVO-CS-48,avocado,40,cases,,31.0
PO-4399,MIX-GRN-12,mixed greens,20,cases,,21.0
PO-4406,BLU-FLAT-12,blueberries,24,cases,,28.4
PO-4404,TOM-VINE-25,tomatoes,40,cases,,19.8
PO-4403,KAL-BCH-12,kale,16,cases,,14.2
PO-4398,ROM-ICE-24,romaine,30,cases,,18.4
PO-5001,RAD-BCH-24,radish,16,cases,,11.9
PO-5002,HRB-MIX-12,herbs,50,cases,,26.0
PO-5003,STR-CLAM-12,strawberries,50,cases,,22.1
PO-5004,STR-CLAM-12,strawberries,50,cases,,22.1
PO-5005,ROM-ICE-24,romaine,48,cases,,18.4
PO-5005,AVO-CS-48,avocado,60,cases,,31.0
PO-5006,ROM-ICE-24,romaine,48,cases,,18.4
PO-5007,POT-RUS-50,potatoes,24,cases,,10.8
PO-5008,CAB-GRN-20,cabbage,20,cases,,12.9
PO-5009,CUC-CTN-24,cucumbers,16,cases,,14.8
PO-5010,KAL-BCH-12,kale,48,cases,,14.2
PO-5011,CRN-EAR-48,corn,12,cases,,16.0
PO-5012,HRB-MIX-12,herbs,24,cases,,26.0
PO-5013,STR-CLAM-12,strawberries,30,cases,,22.1
PO-5014,ROM-ICE-24,romaine,12,cases,,18.4
PO-5015,CAR-BAG-50,carrots,24,cases,,12.0
PO-5016,BRO-CRN-20,broccoli,12,cases,,17.6
PO-5017,MSH-CTN-10,mushrooms,50,cases,,24.5
PO-5018,TOM-VINE-25,tomatoes,60,cases,,19.8
PO-5019,TOM-VINE-25,tomatoes,30,cases,,19.8
PO-5020,TOM-VINE-25,tomatoes,48,cases,,19.8
PO-5021,SPI-BCH-24,spinach,30,cases,,16.5
PO-5022,POT-RUS-50,potatoes,50,cases,,10.8
PO-5022,CRN-EAR-48,corn,50,cases,,16.0
PO-5023,ONI-SK-50,onions,30,cases,,11.5
PO-5024,ONI-SK-50,onions,30,cases,,11.5
PO-5025,HRB-MIX-12,herbs,20,cases,,26.0
PO-5026,LIM-CTN-40,limes,24,cases,,19.1
PO-5027,ROM-ICE-24,romaine,12,cases,,18.4
PO-5027,SPI-BCH-24,spinach,20,cases,,16.5
PO-5028,ICE-HD-24,iceberg,40,cases,,15.1
PO-5029,ROM-ICE-24,romaine,12,cases,,18.4
PO-5030,LET-BIB-12,lettuce,24,cases,,15.7
PO-5030,TOM-VINE-25,tomatoes,50,cases,,19.8
PO-5031,ROM-ICE-24,romaine,24,cases,,18.4
PO-5032,STR-CLAM-12,strawberries,48,cases,,22.1
PO-5033,ONI-SK-50,onions,50,cases,,11.5
PO-5034,ZUC-CS-20,zucchini,24,cases,,14.1
PO-5035,ROM-ICE-24,romaine,20,cases,,18.4
PO-5036,PEP-BLST-20,peppers,48,cases,,21.2
PO-5036,ICE-HD-24,iceberg,50,cases,,15.1
PO-5037,ROM-ICE-24,romaine,24,cases,,18.4
PO-5038,BRO-CRN-20,broccoli,20,cases,,17.6
PO-5039,ZUC-CS-20,zucchini,16,cases,,14.1
PO-5040,ONI-SK-50,onions,30,cases,,11.5
PO-5041,SPI-BCH-24,spinach,16,cases,,16.5
PO-5041,ASP-BCH-11,asparagus,12,cases,,29.0
PO-5042,CRN-EAR-48,corn,50,cases,,16.0
PO-5043,ICE-HD-24,iceberg,12,cases,,15.1
PO-5044,AVO-CS-48,avocado,24,cases,,31.0
PO-5044,TOM-VINE-25,tomatoes,16,cases,,19.8
PO-5045,AVO-CS-48,avocado,50,cases,,31.0
PO-5046,GBN-CTN-20,green beans,16,cases,,18.2
PO-5047,SPI-BCH-24,spinach,50,cases,,16.5
PO-5048,BET-BCH-20,beets,24,cases,,13.2
PO-5049,ONI-SK-50,onions,48,cases,,11.5
PO-5050,ROM-ICE-24,romaine,60,cases,,18.4
PO-5051,TOM-VINE-25,tomatoes,20,cases,,19.8
PO-5052,ONI-SK-50,onions,16,cases,,11.5
PO-5053,ROM-ICE-24,romaine,16,cases,,18.4
PO-5054,LIM-CTN-40,limes,16,cases,,19.1
PO-5054,STR-CLAM-12,strawberries,30,cases,,22.1
PO-5055,STR-CLAM-12,strawberries,48,cases,,22.1
PO-5056,CEL-BCH-30,celery,24,cases,,13.4
PO-5057,PEP-BLST-20,peppers,50,cases,,21.2
PO-5058,SPI-BCH-24,spinach,48,cases,,16.5
PO-5059,ROM-ICE-24,romaine,48,cases,,18.4
PO-5060,ROM-ICE-24,romaine,12,cases,,18.4
